number,latency,type,duration
1077,822716,3,0
1078,823330,3,0
1079,823945,3,0
1080,824559,4,0
1081,825173,3,0
1082,825787,3,0
1083,826401,3,0
1084,827016,3,0
1085,827630,3,0
1086,828244,3,0
1087,828858,3,0
1088,829473,3,0
1089,830087,3,0
1090,830701,3,0
1091,831316,3,0
1092,831930,3,0
1093,832544,3,0
1094,833158,3,0
1095,833772,3,0
1096,834387,4,0
1097,835001,3,0
1098,835615,3,0
1099,836229,3,0
1100,836844,3,0
1101,837458,3,0
1102,838072,3,0
1103,838686,3,0
1104,839301,3,0
1105,839915,3,0
1106,840529,3,0
1107,841143,3,0
1108,841758,3,0
1109,842372,3,0
1110,842986,4,0
1111,843600,3,0
1112,844214,3,0
1113,844829,3,0
1114,845443,3,0
1115,846058,3,0
1116,846671,3,0
1117,847286,3,0
1118,847900,3,0
1119,848514,3,0
1120,849128,3,0
1121,849743,3,0
1122,850357,3,0
1123,850971,3,0
1124,851585,3,0
1125,852200,3,0
1126,852814,3,0
1127,853428,4,0
1128,854042,3,0
1129,854656,3,0
1130,855271,3,0
1131,855885,3,0
1132,856499,3,0
1133,857113,3,0
1134,857728,3,0
1135,858342,3,0
1136,858956,3,0
1137,859570,3,0
1138,860185,4,0
1139,860799,3,0
1140,861413,3,0
1141,862027,3,0
1142,862642,3,0
1143,872538,3,0
1144,873152,3,0
1145,873766,3,0
1146,874380,3,0
1147,874995,3,0
1148,875609,3,0
1149,876223,3,0
1150,876837,3,0
1151,877452,3,0
1152,878066,3,0
1153,878680,3,0
1154,879294,3,0
1155,879909,3,0
1156,880523,3,0
1157,881137,3,0
1158,881751,3,0
1159,882366,3,0
1160,882980,4,0
1161,883594,3,0
1162,884208,3,0
1163,884822,3,0
1164,885437,3,0
1165,886051,3,0
1166,886665,3,0
1167,887279,3,0
1168,887894,3,0
1169,888508,3,0
1170,889122,3,0
1171,889736,3,0
1172,890350,3,0
1173,890965,3,0
1174,891579,3,0
1175,892193,3,0
1176,892808,3,0
1177,893422,3,0
1178,894036,4,0
1179,894650,3,0
1180,895264,3,0
1181,895879,3,0
1182,896493,3,0
1183,897107,3,0
1184,897721,3,0
1185,898336,3,0
1186,898950,3,0
1187,899564,4,0
1188,900178,3,0
1189,900792,3,0
1190,901407,3,0
1191,902021,3,0
1192,902636,3,0
1193,903250,3,0
1194,903864,3,0
1195,904478,3,0
1196,905092,3,0
1197,905706,3,0
1198,906321,3,0
1199,906935,3,0
1200,907549,4,0
1201,908163,3,0
1202,908778,3,0
1203,909392,3,0
1204,910006,3,0
1205,910620,3,0
1206,911235,3,0
1207,911849,3,0
1208,912463,3,0
1209,913077,3,0
1210,913692,3,0
1211,914306,4,0
1212,914920,3,0
1213,915534,3,0
1214,916148,3,0
1215,916763,3,0
1216,917377,3,0
1217,917991,3,0
1218,918605,3,0
1219,919220,3,0
1220,919834,3,0
1221,920448,3,0
1222,921063,3,0
1223,921677,3,0
1224,922291,3,0
1225,922905,4,0
1226,923519,3,0
1227,924134,3,0
1228,924748,3,0
1229,925362,3,0
1230,925976,3,0
1231,926591,3,0
1232,927205,3,0
1233,927819,3,0
1234,928433,3,0
1235,929048,3,0
1236,929662,3,0
1237,930276,3,0
1238,930890,3,0
1239,931505,3,0
1240,932119,3,0
1241,932733,4,0
1242,933347,3,0
1243,944728,3,0
1244,945342,3,0
1245,945956,3,0
1246,946570,3,0
1247,947185,3,0
1248,947799,3,0
1249,948413,3,0
1250,949027,3,0
1251,949642,3,0
1252,950256,3,0
1253,950870,4,0
1254,951484,3,0
1255,952099,3,0
1256,952713,3,0
1257,953327,3,0
1258,953941,3,0
1259,954556,3,0
1260,955170,3,0
1261,955784,3,0
1262,956398,3,0
1263,957012,3,0
1264,957627,3,0
1265,958241,3,0
1266,958855,3,0
1267,959469,3,0
1268,960084,3,0
1269,960698,3,0
1270,961312,3,0
1271,961926,3,0
1272,962541,4,0
1273,963155,3,0
1274,963769,3,0
1275,964383,3,0
1276,964998,3,0
1277,965612,3,0
1278,966226,3,0
1279,966840,3,0
1280,967455,3,0
1281,968069,3,0
1282,968683,3,0
1283,969297,3,0
1284,969911,4,0
1285,970526,3,0
1286,971140,3,0
1287,971754,3,0
1288,972368,3,0
1289,972983,3,0
1290,973597,3,0
1291,974211,3,0
1292,974826,3,0
1293,975440,4,0
1294,976054,3,0
1295,976668,3,0
1296,977282,3,0
1297,977897,3,0
1298,978511,3,0
1299,979125,3,0
1300,979739,3,0
1301,980353,3,0
1302,980968,4,0
1303,981582,3,0
1304,982196,3,0
1305,982810,3,0
1306,983425,3,0
1307,984039,3,0
1308,984653,3,0
1309,985267,3,0
1310,985882,3,0
1311,986496,3,0
1312,987110,3,0
1313,987724,3,0
1314,988339,3,0
1315,988953,3,0
1316,989567,3,0
1317,990181,3,0
1318,990795,3,0
1319,991410,4,0
1320,992024,3,0
1321,992638,3,0
1322,993252,3,0
1323,993867,3,0
1324,994481,3,0
1325,995095,3,0
1326,995709,3,0
1327,996324,3,0
1328,996938,3,0
1329,997552,3,0
1330,998166,3,0
1331,998781,3,0
1332,999395,3,0
1333,1000009,4,0
1334,1000623,3,0
1335,1001238,3,0
1336,1001852,3,0
1337,1002466,3,0
1338,1003080,3,0
1339,1003694,3,0
1340,1004309,3,0
1341,1004923,3,0
1342,1005537,3,0
1343,1016048,3,0
1344,1016662,3,0
1345,1017276,3,0
1346,1017890,3,0
1347,1018504,3,0
1348,1019119,3,0
1349,1019733,3,0
1350,1020347,3,0
1351,1020962,3,0
1352,1021576,3,0
1353,1022190,3,0
1354,1022804,3,0
1355,1023418,4,0
1356,1024033,3,0
1357,1024647,3,0
1358,1025261,3,0
1359,1025875,3,0
1360,1026490,3,0
1361,1027104,3,0
1362,1027718,3,0
1363,1028332,3,0
1364,1028947,4,0
1365,1029561,3,0
1366,1030175,3,0
1367,1030789,3,0
1368,1031403,3,0
1369,1032018,3,0
1370,1032632,3,0
1371,1033246,3,0
1372,1033860,3,0
1373,1034475,3,0
1374,1035089,3,0
1375,1035703,3,0
1376,1036317,3,0
1377,1036932,3,0
1378,1037546,3,0
1379,1038160,4,0
1380,1038774,3,0
1381,1039389,3,0
1382,1040003,3,0
1383,1040617,3,0
1384,1041231,3,0
1385,1041846,3,0
1386,1042460,3,0
1387,1043074,3,0
1388,1043688,3,0
1389,1044303,3,0
1390,1044917,3,0
1391,1045531,3,0
1392,1046145,3,0
1393,1046759,4,0
1394,1047374,3,0
1395,1047988,3,0
1396,1048602,3,0
1397,1049216,3,0
1398,1049831,3,0
1399,1050445,3,0
1400,1051059,3,0
1401,1051673,3,0
1402,1052288,3,0
1403,1052902,3,0
1404,1053516,3,0
1405,1054130,3,0
1406,1054745,3,0
1407,1055359,3,0
1408,1055973,4,0
1409,1056587,3,0
1410,1057202,3,0
1411,1057816,3,0
1412,1058430,3,0
1413,1059044,3,0
1414,1059658,3,0
1415,1060273,3,0
1416,1060887,3,0
1417,1061501,4,0
1418,1062115,3,0
1419,1062730,3,0
1420,1063344,3,0
1421,1063958,3,0
1422,1064572,3,0
1423,1065187,3,0
1424,1065801,3,0
1425,1066415,3,0
1426,1067029,3,0
1427,1067644,3,0
1428,1068258,3,0
1429,1068872,3,0
1430,1069486,3,0
1431,1070101,3,0
1432,1070715,3,0
1433,1071329,3,0
1434,1071943,4,0
1435,1072557,3,0
1436,1073172,3,0
1437,1073786,3,0
1438,1074400,3,0
1439,1075014,3,0
1440,1075629,3,0
1441,1076243,3,0
1442,1076857,3,0
1443,1087880,3,0
1444,1088494,3,0
1445,1089108,3,0
1446,1089722,3,0
1447,1090336,3,0
1448,1090950,3,0
1449,1091565,3,0
1450,1092179,3,0
1451,1092793,3,0
1452,1093407,3,0
1453,1094022,3,0
1454,1094636,3,0
1455,1095250,4,0
1456,1095864,3,0
1457,1096479,3,0
1458,1097093,3,0
1459,1097707,3,0
1460,1098321,3,0
1461,1098936,3,0
1462,1099550,3,0
1463,1100164,3,0
1464,1100778,3,0
1465,1101392,3,0
1466,1102007,4,0
1467,1102621,3,0
1468,1103235,3,0
1469,1103849,3,0
1470,1104464,3,0
1471,1105078,3,0
1472,1105692,3,0
1473,1106306,3,0
1474,1106921,3,0
1475,1107535,4,0
1476,1108149,3,0
1477,1108763,3,0
1478,1109378,3,0
1479,1109992,3,0
1480,1110606,3,0
1481,1111220,3,0
